Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,C_a,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio,Fecha
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.33,363.28,"3,649,597.00","1,325,825,598.16","1,325,825,598.16",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
BIMBOA,GRUPO BIMBO A,Equity,1.97,43.85,"25,564,201.00","1,120,990,213.85","1,120,990,213.85",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
ORBIA,ORBIA ADVANCE CORP SA DE CV,Equity,1.83,56.41,"18,442,266.00","1,040,328,225.06","1,040,328,225.06",Materiales,BH3T8K8,MX01OR010004,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,Equity,1.67,99.17,"9,609,148.00","952,939,207.16","952,939,207.16",Productos básicos de consumo,BHHP0S4,MX01KO000002,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,1.63,36.07,"25,788,604.00","930,194,946.28","930,194,946.28",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
AC,ARCA CONTINENTAL,Equity,1.6,113.04,"8,069,805.00","912,210,757.20","912,210,757.20",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GRUMAB,GRUMA,Equity,1.46,217.04,"3,829,131.00","831,074,592.24","831,074,592.24",Productos básicos de consumo,2392545,MXP4948K1056,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
OMAB,GRUPO AEROPORTUARIO DEL CENTRO NOR,Equity,1.41,128.06,"6,293,874.00","805,993,504.44","805,993,504.44",Industriales,B1KFX13,MX01OM000018,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GFINBURO,GRUPO FINANCIERO INBURSA SRIES O,Equity,1.4,20.23,"39,363,408.00","796,321,743.84","796,321,743.84",Financieros,2822398,MXP370641013,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
ALFAA,ALFA A,Equity,1.26,13.98,"51,196,454.00","715,726,426.92","715,726,426.92",Industriales,2043423,MXP000511016,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
PE&OLES,INDUST PENOLES,Equity,1.2,302.59,"2,254,402.00","682,159,501.18","682,159,501.18",Materiales,2448200,MXP554091415,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
MXN,MXN CASH,Cash,1.11,100,"629,972,104.00","629,972,104.33","629,972,104.33",Liquidez,-,-,-,México,MXN,MXN,1,31/05/2021
PINFRA,PROMOTORA Y OPERADORA DE INFRAESTR,Equity,1.07,159.69,"3,825,086.00","610,827,983.34","610,827,983.34",Industriales,2393388,MX01PI000005,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
CUERVO,BECLE SA DE CV,Equity,0.88,50.19,"10,028,113.00","503,310,991.47","503,310,991.47",Productos básicos de consumo,BYM4063,MX01CU010003,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
VESTA*,CORPORACION INMOBILIARIA VESTA,Equity,0.88,41.03,"12,183,850.00","499,903,365.50","499,903,365.50",Inmobiliario,B8F6ZF8,MX01VE0M0003,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GCARSOA1,GRUPO CARSO SERIES A1,Equity,0.88,60.28,"8,282,808.00","499,287,666.24","499,287,666.24",Industriales,2393452,MXP461181085,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
BBAJIOO,BANCO DEL BAJIO INSTITUCION DE BAN,Equity,0.79,34.59,"13,062,539.00","451,833,224.01","451,833,224.01",Financieros,BYSX0F3,MX41BB000000,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GCC*,GRUPO CEMENTOS,Equity,0.77,147.55,"2,963,072.00","437,201,273.60","437,201,273.60",Materiales,2946663,MX01GC2M0006,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
MEGAC,MEGACABLE HOLDINGS CPO,Equity,0.73,75.91,"5,481,408.00","416,093,681.28","416,093,681.28",Comunicación,B292SM8,MX01ME090003,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
BOLSAA,BOLSA MEXICANA DE VALORES,Equity,0.68,44.5,"8,679,425.00","386,234,412.50","386,234,412.50",Financieros,B39VVF6,MX01BM1B0000,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
Q*,QUALITAS CONTROLADORA,Equity,0.6,108.48,"3,173,619.00","344,274,189.12","344,274,189.12",Financieros,BYMXF65,MX01Q0000008,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
SITESB.1,TELESITES B-1,Equity,0.59,19.82,"16,905,404.00","335,065,107.28","335,065,107.28",Comunicación,BD0G5P8,MX01SI080038,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
ALSEA,ALSEA DE CV,Equity,0.54,33.41,"9,205,557.00","307,557,659.37","307,557,659.37",Consumo discrecional,2563017,MXP001391012,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
LIVEPOLC.1,EL PUERTO DE LIVERPOOL C1,Equity,0.53,84.22,"3,612,481.00","304,243,149.82","304,243,149.82",Consumo discrecional,2306814,MXP369181377,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
LABB,GENOMMA LAB INTERNATIONAL,Equity,0.51,20.94,"13,805,359.00","289,084,217.46","289,084,217.46",Cuidado de la Salud,B3B1C73,MX01LA010006,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
RA,REGIONAL SAB DE CV,Equity,0.43,107.48,"2,279,920.00","245,045,801.60","245,045,801.60",Financieros,BG1Z6X0,MX01R0000006,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
AMXL,AMERICA MOVIL L,Equity,11.58,15,"444,815,757.00","6,672,236,355.00","6,672,236,355.00",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
WALMEX,WALMART DE MEXICO V,Equity,10.83,65.07,"95,921,630.00","6,241,620,464.10","6,241,620,464.10",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GFNORTEO,GPO FINANCE BANORTE,Equity,10.37,128.76,"46,427,056.00","5,977,947,730.56","5,977,947,730.56",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Equity,10.27,168.13,"35,206,897.00","5,919,335,592.61","5,919,335,592.61",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
GMEXICOB,GRUPO MEXICO B,Equity,9.84,93.76,"60,461,863.00","5,668,904,274.88","5,668,904,274.88",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/06/2021
